ticker,date,transaction_type,quantity,price
VTI,2023-01-17,BUY,20,199.77
AAPL,2023-02-14,BUY,30,153.2
MSFT,2023-03-21,BUY,15,273.78
AMZN,2023-04-18,BUY,25,102.3
INTC,2023-05-16,BUY,60,29.22
PFE,2023-06-13,BUY,100,40.28
JNJ,2023-08-08,BUY,25,173.18
XOM,2023-10-17,BUY,40,111.39
AAPL,2023-11-07,BUY,20,181.82
MSFT,2024-01-09,BUY,10,375.79
JPM,2024-02-13,BUY,20,174.26
GOOGL,2024-05-14,BUY,30,170.34
VTI,2024-07-16,BUY,10,279.1
NVDA,2024-08-15,BUY,40,122.86
INTC,2024-09-10,BUY,80,18.98
TSLA,2024-11-12,BUY,25,328.49
AAPL,2025-01-15,SELL,25,237.87
NVDA,2025-02-20,BUY,25,140.11
PFE,2025-03-11,SELL,100,25.99
MSFT,2025-06-12,BUY,8,478.87
AMZN,2025-08-19,BUY,10,228.01
TSLA,2025-09-16,SELL,15,421.62
NVDA,2025-11-10,SELL,30,199.05
XOM,2026-01-20,SELL,15,130.46
MSFT,2026-02-18,SELL,12,399.6
VTI,2026-03-10,BUY,8,333.51
AAPL,2026-04-10,BUY,15,260.48
NVDA,2026-06-15,BUY,15,212.45
LLY,2026-07-08,BUY,5,1215.83
